"","Estimate","StdError","Lower95CI","Upper95CI"
"(Intercept)",32.0444836486577,6.85673328642374,18.5497917608479,45.5391755364675
"CRIM",-0.121517482193811,0.0441556588871231,-0.208419945348498,-0.0346150190391238
"ZN",0.0425452960304699,0.0177879039509361,0.00753703872766396,0.0775535533332758
"INDUS",0.0669259570672821,0.0749102388243173,-0.0805043935018382,0.214356307636402
"NX",-13.9946812197811,4.82121653481435,-23.4832859159202,-4.50607652364203
"RM",4.02197712257894,0.555961066152159,2.92779378833776,5.11616045682013
"AGE",-0.00453122043345702,0.0174077020400302,-0.0387912048447112,0.0297287639777972
"DIS",-1.46966699684651,0.261205147355528,-1.98374313716423,-0.95559085652878
"RAD",0.343191634510289,0.0821271158989426,0.181557795421775,0.504825473598804
"TAX",-0.014404082712666,0.00441613241108895,-0.023095443997115,-0.00571272142821705
"PTRATIO",-0.855679122499322,0.181010293638901,-1.21192429627842,-0.499433948720225
"B",0.0116278748981206,0.00343399364381155,0.00486945449117727,0.018386295305064
"LSTAT",-0.629197782762244,0.0679131551504023,-0.762857218764851,-0.495538346759637
